FileName = C:\Escalation\Winbond\0892100 (TAALDH02)\300169157 FOUP Unload Abnormal\20191016_log\log\Logs\Project\UPC\Work\CollectLog\CcuFiles\Log\Meslog.ml_02

LogCount = 1427
Version = 0

"Index","Date","Time","Status","Message","CEID","Trans.ID","W-Bit","Detail","ReplyResult"
"0","2019/10/16","18:18:21","Send","S7F86","","3473","OFF","List (1)   4
  Ascii(1)  18  :RC2|P_CR90_RRHFO_2
  Ascii(1)   6  :EagleX
  Ascii(1)   6  :1.75a1
  List (1)  19
    List (1)   2
      UInt2(1)   2  :291 (123h)
      List (1)   9
        List (1)   2
          Ascii(1)   8  :RecipeID
          Ascii(1)  11  :130cyc HfO2
        List (1)   2
          Ascii(1)   8  :ConfigID
          Ascii(1)   6  :000000
        List (1)   2
          Ascii(1)   7  :Version
          Ascii(1)   6  :1.5800
        List (1)   2
          Ascii(1)  10  :CreateUser
          Ascii(1)  10  :SuperVisor
        List (1)   2
          Ascii(1)  10  :UpdateUser
          Ascii(1)  10  :SuperVisor
        List (1)   2
          Ascii(1)  10  :CreateDate
          Ascii(1)   8  :20190822
        List (1)   2
          Ascii(1)  10  :UpdateDate
          Ascii(1)  13  :2019101515360
        List (1)   2
          Ascii(1)  13  :ThicknessRate
          Ascii(1)   4  :0.00
        List (1)   2
          Ascii(1)  13  :RecipeComment
          Ascii(1)   0  :
    List (1)   2
      UInt2(1)   2  :303 (12Fh)
      List (1)   6
        List (1)   2
          Ascii(1)  16  :StrikeChk_Enable
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  16  :StrikeChk_VppMin
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :StrikeChk_VppMax
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  17  :StrikeChk_RefPMax
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :StrikeChk_NumOOR
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  16  :StrikeChk_NumBad
          Ascii(1)   1  :0
    List (1)   2
      UInt2(1)   2  :292 (124h)
      List (1)  70
        List (1)   2
          Ascii(1)   9  :VFD_1_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_1_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_1_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_1_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_1_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_1_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_1_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_2_USE
          Ascii(1)   1  :1
        List (1)   2
          Ascii(1)  20  :VFD_2_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_2_LOW
          Ascii(1)   5  :150.0
        List (1)   2
          Ascii(1)  10  :VFD_2_HIGH
          Ascii(1)   5  :200.0
        List (1)   2
          Ascii(1)  16  :VFD_2_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_2_PERIOD
          Ascii(1)   2  :60
        List (1)   2
          Ascii(1)  11  :VFD_2_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_3_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_3_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_3_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_3_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_3_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_3_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_3_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_4_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_4_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_4_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_4_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_4_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_4_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_4_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_5_USE
          Ascii(1)   1  :1
        List (1)   2
          Ascii(1)  20  :VFD_5_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_5_LOW
          Ascii(1)   5  :230.0
        List (1)   2
          Ascii(1)  10  :VFD_5_HIGH
          Ascii(1)   5  :310.0
        List (1)   2
          Ascii(1)  16  :VFD_5_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_5_PERIOD
          Ascii(1)   2  :60
        List (1)   2
          Ascii(1)  11  :VFD_5_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_6_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_6_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_6_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_6_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_6_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_6_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_6_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_7_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_7_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_7_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_7_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_7_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_7_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_7_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_8_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_8_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_8_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_8_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_8_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_8_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_8_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)   9  :VFD_9_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  20  :VFD_9_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)   9  :VFD_9_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  10  :VFD_9_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  16  :VFD_9_RESOLUTION
          Ascii(1)  11  :FULL_SECOND
        List (1)   2
          Ascii(1)  12  :VFD_9_PERIOD
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  11  :VFD_9_DELAY
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  10  :VFD_10_USE
          Ascii(1)   1  :0
        List (1)   2
          Ascii(1)  21  :VFD_10_THRESHOLD_TYPE
          Ascii(1)   8  :ABSOLUTE
        List (1)   2
          Ascii(1)  10  :VFD_10_LOW
          Ascii(1)   3  :0.0
        List (1)   2
          Ascii(1)  11  :VFD_10_HIGH
          Ascii(1)   3  :0.0
        List (1)   2
